city,county,state,project,Farm,Depth,Depthcode,pH,N,OC,P,Ca,Mg,K,Na,Zn,Cu,Mn,Fe,ID,MAPPING_UN,GEOLOGY,SLOPE,ECOLOGICAL,DRAINAGE,SOIL_PH,PH_DESCRIP,SUITABILIT,SOIL_TEXTU,SOIL_CLASS,VEGETATION,DISTRIBUTI,SOIL_CLA_1,PERCENTAGE,MAJOR_CROP,Depth_2
Kantoro,Shanga,Kebbi State,OCP fertilizer,Has,0-20 cm,"1",6.11879,0.043971,0.478427,1.89126,261.169,89.0684,50.2316,16.4204,0.802563,0.921915,50.6143,113.16,"4",2a,Recent Alluvium,0 - 2%,Wet Land Soils,Poorly Drained,5.9 - 4.9,Very Strongly Acidic,Moderately Suitable,Sandy Loam,Typic Ustifluvent,Cultivated to swamp rice and oil palm,"76,515.95",Eutric Fluvisol,"8.28","Yam, Rice,Maize, Millet,Irish Potatoes","Deep, Mostly Deep"
Kantoro,Shanga,Kebbi State,OCP fertilizer,Has,0-20 cm,"1",6.13216,0.071001,0.612303,3.9657,287.973,201.461,85.0524,19.309,1.21169,2.15019,85.9751,121.812,"4",2a,Recent Alluvium,0 - 2%,Wet Land Soils,Poorly Drained,5.9 - 4.9,Very Strongly Acidic,Moderately Suitable,Sandy Loam,Typic Ustifluvent,Cultivated to swamp rice and oil palm,"76,515.95",Eutric Fluvisol,"8.28","Yam, Rice,Maize, Millet,Irish Potatoes","Deep, Mostly Deep"
Kawara,Shanga,Kebbi State,OCP fertilizer,Has,0-20 cm,"1",6.43914,0.057943,0.542822,4.8382,353.62,116.784,135.726,13.8406,1.48469,0.917831,65.837,128.94,"4",2a,Recent Alluvium,0 - 2%,Wet Land Soils,Poorly Drained,5.9 - 4.9,Very Strongly Acidic,Moderately Suitable,Sandy Loam,Typic Ustifluvent,Cultivated to swamp rice and oil palm,"76,515.95",Eutric Fluvisol,"8.28","Yam, Rice,Maize, Millet,Irish Potatoes","Deep, Mostly Deep"
Kawara,Shanga,Kebbi State,OCP fertilizer,Has,0-20 cm,"1",5.76363,0.068463,0.434531,4.89442,219.104,70.1635,76.0997,9.98668,0.890223,1.12462,58.1049,110.316,"4",2a,Recent Alluvium,0 - 2%,Wet Land Soils,Poorly Drained,5.9 - 4.9,Very Strongly Acidic,Moderately Suitable,Sandy Loam,Typic Ustifluvent,Cultivated to swamp rice and oil palm,"76,515.95",Eutric Fluvisol,"8.28","Yam, Rice,Maize, Millet,Irish Potatoes","Deep, Mostly Deep"
Kawara,Shanga,Kebbi State,OCP fertilizer,Has,0-20 cm,"1",6.76575,0.05488,0.740769,3.63089,497.791,138.945,65.6112,15.3567,0.855012,1.24835,63.2063,124.308,"4",2a,Recent Alluvium,0 - 2%,Wet Land Soils,Poorly Drained,5.9 - 4.9,Very Strongly Acidic,Moderately Suitable,Sandy Loam,Typic Ustifluvent,Cultivated to swamp rice and oil palm,"76,515.95",Eutric Fluvisol,"8.28","Yam, Rice,Maize, Millet,Irish Potatoes","Deep, Mostly Deep"
Kawara,Shanga,Kebbi State,OCP fertilizer,Has,0-20 cm,"1",6.44165,0.091583,1.08522,6.56146,372.334,216.123,84.4508,10.113,1.77764,1.00323,104.885,175.473,"4",2a,Recent Alluvium,0 - 2%,Wet Land Soils,Poorly Drained,5.9 - 4.9,Very Strongly Acidic,Moderately Suitable,Sandy Loam,Typic Ustifluvent,Cultivated to swamp rice and oil palm,"76,515.95",Eutric Fluvisol,"8.28","Yam, Rice,Maize, Millet,Irish Potatoes","Deep, Mostly Deep"
Kantoro,Shanga,Kebbi State,OCP fertilizer,Has,0-20 cm,"1",6.78312,0.082891,0.950093,6.00395,574.335,268.522,96.7624,14.8014,1.68811,1.60505,94.887,158.693,"4",2a,Recent Alluvium,0 - 2%,Wet Land Soils,Poorly Drained,5.9 - 4.9,Very Strongly Acidic,Moderately Suitable,Sandy Loam,Typic Ustifluvent,Cultivated to swamp rice and oil palm,"76,515.95",Eutric Fluvisol,"8.28","Yam, Rice,Maize, Millet,Irish Potatoes","Deep, Mostly Deep"
Kantoro,Shanga,Kebbi State,OCP fertilizer,Has,0-20 cm,"1",5.96777,0.045438,0.501604,4.82403,364.791,154.306,65.5802,16.0458,1.03801,1.67642,88.7105,140.344,"4",2a,Recent Alluvium,0 - 2%,Wet Land Soils,Poorly Drained,5.9 - 4.9,Very Strongly Acidic,Moderately Suitable,Sandy Loam,Typic Ustifluvent,Cultivated to swamp rice and oil palm,"76,515.95",Eutric Fluvisol,"8.28","Yam, Rice,Maize, Millet,Irish Potatoes","Deep, Mostly Deep"
Kantoro,Shanga,Kebbi State,OCP fertilizer,Has,0-20 cm,"1",5.90896,0.153713,2.01241,4.32667,362.073,260.954,96.0974,28.2483,1.92176,1.53082,100.945,127.155,"4",2a,Recent Alluvium,0 - 2%,Wet Land Soils,Poorly Drained,5.9 - 4.9,Very Strongly Acidic,Moderately Suitable,Sandy Loam,Typic Ustifluvent,Cultivated to swamp rice and oil palm,"76,515.95",Eutric Fluvisol,"8.28","Yam, Rice,Maize, Millet,Irish Potatoes","Deep, Mostly Deep"
Rijau,Rijau,Niger State,North central,Rijau-Rijau LGA,0-15,"1",5.93,0.05,2.6,4.21,1168,880.8,78.2,161,0.564,1.07,0,0.968,"27",18d,Migmatite,0 - 2%,Savannah Soils,Moderately Drained,5.5 - 6.3,Strogly acidic to Slightly Acidic,Moderately Suitable,Clay Loam,Typic Haplustalf,"Savannah Shrubland cultivated to sorghum, Millet and maize","92,048.48",Orthic Luvisol,"9.96","Sugarcane,Cassava,Yam,Irish Potatoes,Cocoa,Rubber,Groundnut,MilletSorghum,Cowpea,Rice,OilPalm","Moderately, Generally Deep"
Rijau,Rijau,Niger State,North central,Rijau-Rijau LGA,15 - 30,"2",5,0.06,2.41,6.31,904,836.4,19.55,149.5,0.454,1.07,0,0.744,"27",18d,Migmatite,0 - 2%,Savannah Soils,Moderately Drained,5.5 - 6.3,Strogly acidic to Slightly Acidic,Moderately Suitable,Clay Loam,Typic Haplustalf,"Savannah Shrubland cultivated to sorghum, Millet and maize","92,048.48",Orthic Luvisol,"9.96","Sugarcane,Cassava,Yam,Irish Potatoes,Cocoa,Rubber,Groundnut,MilletSorghum,Cowpea,Rice,OilPalm","Moderately, Generally Deep"
Zoza,Rogo,Kano State,OCP fertilizer,Mukhtar,20-40 cm,"2",6.2437,0.034081,0.367907,1.35744,194.962,117.702,80.3548,13.7606,1.01278,0.99334,59.631,91.2049,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Zoza,Rogo,Kano State,OCP fertilizer,Mukhtar,20-40 cm,"2",5.51401,0.032629,0.387268,4.42028,143.954,48.6348,64.9635,10.0227,0.966493,0.536218,42.9511,101.17,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Zoza,Rogo,Kano State,OCP fertilizer,Mukhtar,20-40 cm,"2",6.59467,0.026785,0.464616,1.68565,415.109,157.883,64.9809,37.5157,0.799665,1.59786,117.608,66.8007,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Zoza,Rogo,Kano State,OCP fertilizer,Mukhtar,20-40 cm,"2",5.71164,0.037837,0.428175,1.81941,418.824,91.2262,66.2891,11.2275,0.857906,1.07864,73.3606,94.1844,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Zoza,Rogo,Kano State,OCP fertilizer,Mukhtar,20-40 cm,"2",6.16347,0.037886,0.427731,2.3476,268.142,85.3277,75.3046,12.7763,1.03846,0.849598,72.4033,132.554,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Zoza,Rogo,Kano State,OCP fertilizer,Mukhtar,20-40 cm,"2",5.71405,0.02768,0.264074,4.2516,147.005,64.0795,53.3814,12.0513,0.840023,0.494454,54.2546,105.265,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Zoza,Rogo,Kano State,OCP fertilizer,Mukhtar,20-40 cm,"2",5.78447,0.045965,0.453943,3.63494,263.636,73.8767,59.0534,11.783,0.876928,0.783259,73.3452,129.526,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Zoza,Rogo,Kano State,OCP fertilizer,Mukhtar,20-40 cm,"2",6.03196,0.04356,0.453381,3.44408,233.938,62.7887,53.3062,11.0967,0.88442,0.717282,61.8727,101.773,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Zoza,Rogo,Kano State,OCP fertilizer,Mukhtar,20-40 cm,"2",5.44953,0.03203,0.408253,2.42941,65.5839,58.2443,53.2178,11.0203,0.93245,0.23932,38.0149,106.287,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Yanoko,Rogo,Kano State,OCP fertilizer,Mukhtar,20-40 cm,"2",6.38629,0.061647,0.767192,0.788779,472.244,353.21,96.9671,339.419,0.899809,2.91946,135.778,150.856,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Yanoko,Rogo,Kano State,OCP fertilizer,Mukhtar,20-40 cm,"2",6.32386,0.041785,0.404324,1.86163,302.396,81.479,49.1894,10.1416,0.756821,0.938349,77.8177,129.605,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Yanoko,Rogo,Kano State,OCP fertilizer,Mukhtar,20-40 cm,"2",5.87914,0.043044,0.504037,2.51657,196.009,47.1092,65.0762,9.92939,0.879503,0.740745,57.0816,83.5924,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Gobirawa,Rogo,Kano State,OCP fertilizer,Mukhtar,20-40 cm,"2",5.7873,0.044868,0.47804,1.94527,240.827,68.6941,82.3986,12.012,0.905735,1.13387,69.2798,123.596,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
