,index,state,rainfall,temperature,mean_humidity,mean_rainfall,Farm,pH,N,OC,P,Ca,Mg,K,Na,Zn,Cu,Mn,Fe,VEGETATION,MAJOR_CROP,slope,avg_depth,avg_soil_ph
0,0,0,683.6,27.48,35.973,11.306000000000001,0,6.37594,0.044609,0.609208,8.91922,488.045,106.274,87.6317,14.9662,1.28535,0.860957,89.2675,102.22,0,0,2.0,30.0,5.5
1,1,0,683.6,27.48,35.973,11.306000000000001,0,6.37594,0.044609,0.609208,8.91922,488.045,106.274,87.6317,14.9662,1.28535,0.860957,89.2675,102.22,0,1,2.0,30.0,5.5
2,2,0,683.6,27.48,35.973,11.306000000000001,0,6.37594,0.044609,0.609208,8.91922,488.045,106.274,87.6317,14.9662,1.28535,0.860957,89.2675,102.22,0,2,2.0,30.0,5.5
3,3,0,683.6,27.48,35.973,11.306000000000001,0,6.37594,0.044609,0.609208,8.91922,488.045,106.274,87.6317,14.9662,1.28535,0.860957,89.2675,102.22,0,3,2.0,30.0,5.5
4,4,0,683.6,27.48,35.973,11.306000000000001,0,6.37594,0.044609,0.609208,8.91922,488.045,106.274,87.6317,14.9662,1.28535,0.860957,89.2675,102.22,0,4,2.0,30.0,5.5
5,5,0,683.6,27.48,35.973,11.306000000000001,0,6.37594,0.044609,0.609208,8.91922,488.045,106.274,87.6317,14.9662,1.28535,0.860957,89.2675,102.22,0,5,2.0,30.0,5.5
6,6,0,683.6,27.48,35.973,11.306000000000001,0,6.37594,0.044609,0.609208,8.91922,488.045,106.274,87.6317,14.9662,1.28535,0.860957,89.2675,102.22,0,6,2.0,30.0,5.5
7,7,0,683.6,27.48,35.973,11.306000000000001,0,6.37594,0.044609,0.609208,8.91922,488.045,106.274,87.6317,14.9662,1.28535,0.860957,89.2675,102.22,0,7,2.0,30.0,5.5
8,8,0,683.6,27.48,35.973,11.306000000000001,0,6.37594,0.044609,0.609208,8.91922,488.045,106.274,87.6317,14.9662,1.28535,0.860957,89.2675,102.22,0,8,2.0,30.0,5.5
9,9,0,683.6,27.48,35.973,11.306000000000001,0,6.37594,0.044609,0.609208,8.91922,488.045,106.274,87.6317,14.9662,1.28535,0.860957,89.2675,102.22,0,9,2.0,30.0,5.5
10,10,0,683.6,27.48,35.973,11.306000000000001,0,6.37594,0.044609,0.609208,8.91922,488.045,106.274,87.6317,14.9662,1.28535,0.860957,89.2675,102.22,0,10,2.0,30.0,5.5
11,11,0,683.6,27.48,35.973,11.306000000000001,0,6.40929,0.059607,0.753579,7.53341,334.251,135.848,97.4552,17.5533,1.46759,1.02504,67.4791,180.584,0,0,2.0,30.0,5.5
12,12,0,683.6,27.48,35.973,11.306000000000001,0,6.40929,0.059607,0.753579,7.53341,334.251,135.848,97.4552,17.5533,1.46759,1.02504,67.4791,180.584,0,1,2.0,30.0,5.5
13,13,0,683.6,27.48,35.973,11.306000000000001,0,6.40929,0.059607,0.753579,7.53341,334.251,135.848,97.4552,17.5533,1.46759,1.02504,67.4791,180.584,0,2,2.0,30.0,5.5
14,14,0,683.6,27.48,35.973,11.306000000000001,0,6.40929,0.059607,0.753579,7.53341,334.251,135.848,97.4552,17.5533,1.46759,1.02504,67.4791,180.584,0,3,2.0,30.0,5.5
15,15,0,683.6,27.48,35.973,11.306000000000001,0,6.40929,0.059607,0.753579,7.53341,334.251,135.848,97.4552,17.5533,1.46759,1.02504,67.4791,180.584,0,4,2.0,30.0,5.5
16,16,0,683.6,27.48,35.973,11.306000000000001,0,6.40929,0.059607,0.753579,7.53341,334.251,135.848,97.4552,17.5533,1.46759,1.02504,67.4791,180.584,0,5,2.0,30.0,5.5
17,17,0,683.6,27.48,35.973,11.306000000000001,0,6.40929,0.059607,0.753579,7.53341,334.251,135.848,97.4552,17.5533,1.46759,1.02504,67.4791,180.584,0,6,2.0,30.0,5.5
18,18,0,683.6,27.48,35.973,11.306000000000001,0,6.40929,0.059607,0.753579,7.53341,334.251,135.848,97.4552,17.5533,1.46759,1.02504,67.4791,180.584,0,7,2.0,30.0,5.5
19,19,0,683.6,27.48,35.973,11.306000000000001,0,6.40929,0.059607,0.753579,7.53341,334.251,135.848,97.4552,17.5533,1.46759,1.02504,67.4791,180.584,0,8,2.0,30.0,5.5
20,20,0,683.6,27.48,35.973,11.306000000000001,0,6.40929,0.059607,0.753579,7.53341,334.251,135.848,97.4552,17.5533,1.46759,1.02504,67.4791,180.584,0,9,2.0,30.0,5.5
21,21,0,683.6,27.48,35.973,11.306000000000001,0,6.40929,0.059607,0.753579,7.53341,334.251,135.848,97.4552,17.5533,1.46759,1.02504,67.4791,180.584,0,10,2.0,30.0,5.5
22,22,0,683.6,27.48,35.973,11.306000000000001,0,6.16546,0.051261,0.934983,7.37076,344.286,166.463,92.1612,12.168,1.38928,1.0508,92.8439,91.5145,0,0,2.0,10.0,5.5
23,23,0,683.6,27.48,35.973,11.306000000000001,0,6.16546,0.051261,0.934983,7.37076,344.286,166.463,92.1612,12.168,1.38928,1.0508,92.8439,91.5145,0,1,2.0,10.0,5.5
24,24,0,683.6,27.48,35.973,11.306000000000001,0,6.16546,0.051261,0.934983,7.37076,344.286,166.463,92.1612,12.168,1.38928,1.0508,92.8439,91.5145,0,2,2.0,10.0,5.5
25,25,0,683.6,27.48,35.973,11.306000000000001,0,6.16546,0.051261,0.934983,7.37076,344.286,166.463,92.1612,12.168,1.38928,1.0508,92.8439,91.5145,0,3,2.0,10.0,5.5
26,26,0,683.6,27.48,35.973,11.306000000000001,0,6.16546,0.051261,0.934983,7.37076,344.286,166.463,92.1612,12.168,1.38928,1.0508,92.8439,91.5145,0,4,2.0,10.0,5.5
27,27,0,683.6,27.48,35.973,11.306000000000001,0,6.16546,0.051261,0.934983,7.37076,344.286,166.463,92.1612,12.168,1.38928,1.0508,92.8439,91.5145,0,5,2.0,10.0,5.5
28,28,0,683.6,27.48,35.973,11.306000000000001,0,6.16546,0.051261,0.934983,7.37076,344.286,166.463,92.1612,12.168,1.38928,1.0508,92.8439,91.5145,0,6,2.0,10.0,5.5
29,29,0,683.6,27.48,35.973,11.306000000000001,0,6.16546,0.051261,0.934983,7.37076,344.286,166.463,92.1612,12.168,1.38928,1.0508,92.8439,91.5145,0,7,2.0,10.0,5.5
