,index,state,temperature,mean_humidity,mean_rainfall,pH,N,OC,P,K,Na,MAJOR_CROP,avg_depth
0,0,0,27.48,35.973,11.306000000000001,6.37594,0.044609,0.609208,8.91922,87.6317,14.9662,0,30.0
1,1,0,27.48,35.973,11.306000000000001,6.37594,0.044609,0.609208,8.91922,87.6317,14.9662,1,30.0
2,2,0,27.48,35.973,11.306000000000001,6.37594,0.044609,0.609208,8.91922,87.6317,14.9662,2,30.0
3,3,0,27.48,35.973,11.306000000000001,6.37594,0.044609,0.609208,8.91922,87.6317,14.9662,3,30.0
4,4,0,27.48,35.973,11.306000000000001,6.37594,0.044609,0.609208,8.91922,87.6317,14.9662,4,30.0
5,5,0,27.48,35.973,11.306000000000001,6.37594,0.044609,0.609208,8.91922,87.6317,14.9662,5,30.0
6,6,0,27.48,35.973,11.306000000000001,6.37594,0.044609,0.609208,8.91922,87.6317,14.9662,6,30.0
7,7,0,27.48,35.973,11.306000000000001,6.37594,0.044609,0.609208,8.91922,87.6317,14.9662,7,30.0
8,8,0,27.48,35.973,11.306000000000001,6.37594,0.044609,0.609208,8.91922,87.6317,14.9662,8,30.0
9,9,0,27.48,35.973,11.306000000000001,6.37594,0.044609,0.609208,8.91922,87.6317,14.9662,9,30.0
10,10,0,27.48,35.973,11.306000000000001,6.37594,0.044609,0.609208,8.91922,87.6317,14.9662,10,30.0
11,11,0,27.48,35.973,11.306000000000001,6.40929,0.059607,0.753579,7.53341,97.4552,17.5533,0,30.0
12,12,0,27.48,35.973,11.306000000000001,6.40929,0.059607,0.753579,7.53341,97.4552,17.5533,1,30.0
13,13,0,27.48,35.973,11.306000000000001,6.40929,0.059607,0.753579,7.53341,97.4552,17.5533,2,30.0
14,14,0,27.48,35.973,11.306000000000001,6.40929,0.059607,0.753579,7.53341,97.4552,17.5533,3,30.0
15,15,0,27.48,35.973,11.306000000000001,6.40929,0.059607,0.753579,7.53341,97.4552,17.5533,4,30.0
16,16,0,27.48,35.973,11.306000000000001,6.40929,0.059607,0.753579,7.53341,97.4552,17.5533,5,30.0
17,17,0,27.48,35.973,11.306000000000001,6.40929,0.059607,0.753579,7.53341,97.4552,17.5533,6,30.0
