state,city,rainfall,temperature,humidity
Abia,Aba,2747,25.6,"The month of highest relative humidity is June (90.79 %). The month with the lowest relative humidity is January (67.66 %).
The month which sees the most rainfall is October (11.20 days). The driest month of the year is January (28.67 days)."
Abia,Ahia Aba,2219,25.7,"The month with the most relative humidity is September (90.04 %). The month with the least relative humidity is January (61.71 %).
The wettest month is October (28.07 days), while the driest is December (5.67)."
Abia,Bende,2112,26.1,"The month that sees the most relative humidity is October (57.48 %). The month with the lowest amount of relative humidity is January (57.48 %).
The wettest month is October (28.07 days), whilst the driest is January (4.67)."
Abia,Ihie Ndume,2122,25.8,"The month with the highest relative humidity is October (89.37 %). The month with the lowest relative humidity is January (58.35 %).
The month with the highest number of rainy days is October (28.07 days). The month with the lowest number of rainy days is January (4.80 days)."
Abia,Mbukwa,2112,26.1,"The month with the highest relative humidity is October (89.42 %). The month with the lowest relative humidity is January (59.93 %).
The month with the highest number of rainy days is October (28.07 days). The month with the lowest number of rainy days is January (4.67 days)."
Abia,Ndi Ememe Abam,2112,26.2,"The month of highest relative humidity is October (88.15 %). The month with the lowest relative humidity is January (56.56 %).
The month which sees the most rainfall is October (4.67 days). The driest month of the year is January (28.07 days)."
Abia,Ndinya,2112,26.2,"The month with the most relative humidity is October (88.15 %). The month with the least relative humidity is January (56.56 %).
The wettest month is October (28.07 days), while the driest is January (4.67)."
Abia,Ngu,2122,26.1,"The month of highest relative humidity is October (88.55 %). The month with the lowest relative humidity is January (54.44 %).
The month which sees the most rainfall is October (4.80 days). The driest month of the year is January (28.07 days)."
Abia,Osusu,2122,25.7,"The month with the most relative humidity is October (90.04 %). The month with the least relative humidity is January (60.84 %).
The wettest month is October (28.07 days), while the driest is January (4.80)."
Abia,Ozu Item,2122,26.1,"The month with the highest relative humidity is October (88.16 %). The month with the lowest relative humidity is January (57.48 percent).
The month with the most rainy days is October (28.07 days). The month with the fewest rainy days is January (4.80 days)."
Adamawa,Boyu,854,26.5,"The month with the highest relative humidity is August (83.55 %). The month with the lowest relative humidity is February (19.79 %).
The wettest month is August (25.17 days). The driest month is January (0.03 days)."
Adamawa,Jalingo,553,29,"The month of highest relative humidity is August (77.06 %). The month with the lowest relative humidity is March (17.10 %).
The month which sees the most rainfall is August (0.00 days). The driest month of the year is January (20.10 days)."
Adamawa,Kantunda,534,27.1,"The month that sees the most relative humidity is August (12.18 %). The month with the lowest amount of relative humidity is March (12.18 %).
The wettest month is August (21.93 days), whilst the driest is January (0.00)."
Adamawa,Mubi,853,25.7,"The month with the highest relative humidity is August (86.12 %). The month with the lowest relative humidity is March (15.25 %).
The month with the highest number of rainy days is August (25.33 days). The month with the lowest number of rainy days is January (0.00 days)."
Adamawa,Yola,624,29.1,"The month that sees the most relative humidity is August (18.25 %). The month with the lowest amount of relative humidity is February (18.25 %).
The wettest month is August (20.50 days), whilst the driest is January (0.00)."
